Título Artículo,Nombre Revista Científica,Resumen,Año
Technology as an innovation factor in Colombian enterprises [Tecnología como factor de innovación en empresas colombianas],Revista Venezolana de Gerencia,"The development of innovations depends on multiple factor in order to achieve consolidation of successful projects which come from the definition of an adequate strategy. One of the factors is technology given that it contributes to the achievement of the proposed business results, therefore, the aim of the present study consist of verifying if the acquisition of information technology generates innovation benefits for the Colombian enterprises; furthermore, analyzes its importance as an input to the definition of organizational strategy. In order to do so, a statistic correlation exercise between the variables of technology an innovation acquisition and elements of the II Development and Technological Innovation Survey in Colombia was made, indicating if dependence between the variables results exists. As a main conclusion, the technology acquisition in Colombia is not an active part of the organizational strategy or its use has been oriented to activities which do not generate competitive advantage. This study is intended to contribute to the management process development in the companies of the country. © 2015, Universidad del Zulia. All rights reserved.",2015
Why are diagnosis-related groups unpopular in Colombia? [Porque grupos de diagnósticos homogêneos não são implementados na Colômbia?] [¿Por qué los grupos relacionados de diagnóstico no se implementan en Colombia?],Cadernos de Saude Publica,"The aim of this study was to explore the determinants of non-implementation of diagnosis-related groups (DRGs) by hospitals in Colombia. A qualitative case was carried out to analyze the directors’ perceptions in six hospitals with and without DRGs in Bogotá. The interviews are based on the Innovation Diffusion Theory. The directors had similar perceptions of the determinates. DRGs were seen as positive, but encountered organizational and institutional obstacles. Without a targeted public policy, the likelihood of implementing DRGs in Colombia is slight. © 2015, Fundacao Oswaldo Cruz. All rights reserved.",2015
The modified Delphi method. An approach from the Soft Systems Methodology [El método delphi modificado. Un acercamiento desde la metodología de sistemas suaves],Espacios,"The article presents a revision of a state of the art related to the Delphi method, its definitions, characteristics and applications. Based on this revision, its problems were identified, and one of them related to the non-structure structuring of problems of human activity was analyzed. With the end of complementing the analysis, a case of the application of soft system methodology was made, conceived in the 1960's by Peter Checkland in a Doctoral dissertation related to the Delphi method and its alignment with an innovation strategy in the frame of a management innovation model; with the purpose of generating a solved problem. Amongst the main conclusions, the advantages of the use of a soft system methodology were highlighted to help the improvement of non-structured human activity with the Delphi method, and its alignment with the company's innovation strategy in the frame of innovation management models. Also, the possibility of complementing the soft system methodology with priority surveys to obtain expert opinion related with the components of a Doctoral dissertation.",2015
Born globals from the resource-based theory: A case study in Colombia,Journal of Technology Management and Innovation,"This paper describes how a born global firm goes into international market from inception at its early years. The objective of this paper is to analyze from the resource-based theory how a born global firm engages in international market. This empirical investigation has been carried out as an explorative single-case study, a high-tech firm, Digital Partner, based in Medellin, Antioquia. The main findings of the research show that organizational capabilities based on intellectual capital are crucial for the development of a born global. Thus, capabilities such as entrepreneurship, global vision, internationally market knowledge, learning management, IT capabilities, technological innovation, collaborative work, networks and customer orientation are recurrent and they correspond to other similar research results. Contributions of the study are both academic (for the advance of the research in born global field) and practical (for the design of governmental policies to foster born global firms). © Universidad Alberto Hurtado, Facultad de Economía y Negocios.",2015
National Laboratory of Smart Grids (LAB+i) at the National University of Colombia-Bogotá Campus,"2014 IEEE PES Transmission and Distribution Conference and Exposition, PES T and D-LA 2014 - Conference Proceedings","This paper describes the design and implementation of the National Laboratory of Smart Grids in the University Campus (LAB+i) with the real-time integration of electricity, water and/or gas systems through six layers of Smart Grids that allow to make measurement of a process, local or remote communication in order to be integrated to the supervision and management system. Likewise in the following layers of the LAB+i, information management processes, decision making, modeling of systems and processes that enable the development of optimum efficiency and productivity applications are made. LAB+i is designed as a testing platform of technologies associated with Smart Grids, developing prototypes of measurement systems and communication drivers related to Smart Grids for Smart Cities. Finally, the research capacities, technology and innovation development are presented, which the LAB+i laboratory would allow to include the incorporation of local business pilot projects to be optimized, adaptive technology testing, evaluation of local environmental conditions and their requirements. © 2014 IEEE.",2014
"Technological change and innovation in Latin American emerging economies: The pork industry of Antioquia, Colombia",Handbook of Research on Economic Growth and Technological Change in Latin America,"Innovation and technology, in appropriate business environments, are considered improvement and survival tools directly related to the establishment of competitive advantages. However, this must be accompanied by a growing economy, and, in some cases, governmental policies that encourage the industry. This chapter inquires about several factors involved in the innovation and technological change of the pork industry in Antioquia, Colombia, based on original research results and other contributions of the authors. The managerial assumption is simple: free trade and strategic moves of the biggest competitors indicate that Small- and Medium-Sized Enterprises (SMEs) in the pork industry must accelerate their technological change via innovation management by addressing different factors that are hindering the establishment of competitive advantages. The authors offer a possible path of action from a management perspective to support that the industry will form an oligopoly should innovation management not occur. © 2014 by IGI Global. All rights reserved.",2014
The maturity of capacities for innovation in Colombian enterprises [Madurez de las capacidades de innovación en empresas colombianas],Revista Venezolana de Gerencia,"Some of the great enterprises of Colombia, leaders in research, development and innovation, are located in the city of Medellin. However, to date, few studies have been made regarding the capacities for innovation underlying their good results in developing new and improved products. The objective of this article is to determine the maturity ofthe innovation capacities for five ofthese companies. The theoretical model of Essmann and Du Preez (2009) was used, which consists ofthree dimensions: a construct for innovation capacity, a maturity scale and an organizational construct. In terms of methodology, an index of innovative capacity was constructed and the ranges for three maturity levels were calculated, using the analysis cluster (Jung et al, 2009); this permitted classifying the companies under study. Results show that all the companies have a maturity level titled formalized and predictable. In conclusion, although the best practices associated with each innovation capacity have been identified and implemented, individuals have not appropriated them and do not use them in a systematic manner. © 2014, Universidad del Zulia. All rights reserved.",2014
Integral design tutoring model as a knowledge transfer strategy for SMEs in Colombia,9th International Conference on Design and Emotion 2014: The Colors of Care,"Colombia has been transformed into the third country with the best business environment in L.A.; however, investment in Research, Development and Innovation (RD&I) is only 0,2% of the GPD. Taking into account that 98% of the Colombian enterprises are SMEs, from which 5% invest only 2% of its annual budget in design, the National Industrial Design Program (MinCIT) saw the need to develop the Integral Design Tutoring Model. The model makes a bet for empathy and emotional intimacy as tools to transfer the necessary knowledge so that the local businessperson develops an innovation culture based on design thinking. To test the model, the Integral Design Tutoring Project was developed as a pilot. This fourmonths project allowed an interdisciplinary team, conducted by designers, to accompany twenty SMEs. Through a process developed in three stages it was possible to prove that, through empathy and emotional intimacy, one can achieve knowledge transfer to business people and their organizations in an effective, efficient and successful way. This knowledge transfer allows the organization to develop human centered design processes in a systematic, independent and autonomous way.",2014
A standardized trauma care protocol decreased in-hospital mortality of patients with severe traumatic brain injury at a teaching hospital in a middle-income country,Injury,"Introduction Standardized trauma protocols (STP) have reduced morbidity and in-hospital mortality in mature trauma systems. Most hospitals in low- and middle-income countries (LMICs) have not implemented STPs, often because of financial and logistic limitations. We report the impact of an STP designed for the care of trauma patients in the emergency department (ED) at an LMIC hospital on patients with severe traumatic brain injury (STBI). Methods We developed an STP based on generally accepted best practices and damage control resuscitation for a level I trauma centre in Colombia. Without a pre-existing trauma registry, we adapted an administrative electronic database to capture clinical information of adult patients with TBI, a head abbreviated injury score (AIS) ≥3, and who presented ≤ 12 h from injury. Demographics, mechanisms of injury, and injury severity were compared. Primary outcome was in-hospital mortality. Secondary outcomes were Glasgow Coma Score (GCS), length of hospital and ICU stay, and prevalence of ED interventions recommended in the STP. Logistic regression was used to control for potential confounders. Results The pre-STP group was hospitalized between August 2010 and August 2011, the post-STP group between September 2011 and June 2012. There were 108 patients meeting inclusion criteria, 68 pre-STP implementation and 40 post-STP. The pre- and post-STP groups were similar in age (mean 37.1 vs. 38.6, p = 0.644), head AIS (median 4.5 vs. 4.0, p = 0.857), Injury Severity Scale (median 25 vs. 25, p = 0.757), and initial GCS (median 7 vs. 7, p = 0.384). Post-STP in-hospital mortality decreased (38% vs. 18%, p = 0.024), and discharge GCS increased (median 10 vs. 14, p = 0.034). After controlling for potential confounders, odds of in-hospital mortality post-STP compared to pre-STP were 0.248 (95%CI: 0.074-0.838, p = 0.025). Hospital and ICU stay did not significantly change. The use of many ED interventions increased post-STP, including bladder catheterization (49% vs. 73%, p = 0.015), hypertonic saline (38% vs. 63%, p = 0.014), arterial blood gas draws (25% vs. 43%, p = 0.059), and blood transfusions (3% vs. 18%, p = 0.008). Conclusions An STP in an LMIC decreased in-hospital mortality, increased discharge GCS, and increased use of vital ED interventions for patients with STBI. An STP in an LMIC can be implemented and measured without a pre-existing trauma registry. © 2014 Elsevier Ltd.",2014
The transition to a teaching hospital: Patient satisfaction before and after the introduction of medical students,Medical Teacher,"Background: Several studies have explored the effect of the presence of medical students on patient satisfaction. However, nearly all of these studies took place in hospitals where medical students had been involved in patient care for many years. Less is known about patients' perceptions of care in a hospital moving toward becoming a teaching facility with undergraduate students. No research has explored patient satisfaction before and after the introduction of medical students. Objective: To assess patient satisfaction as an indicator of quality of care (QoC) from the patients' perspective, before and after the presence of medical students in a general hospital setting. Methods: This observational, cross-sectional study was conducted at Hospital Universitario-Fundación Santa Fe de Bogotá (HU-FSFB) in Bogotá, Colombia. The study had two phases. In 2006, prior to HU-FSBF becoming a teaching hospital, 385 subjects were asked to fill out a closed-question questionnaire addressing patients' satisfaction and perception of QoC provided by attending physicians. During the second period in 2009, 372 patients answered the same questionnaire when medical students were involved in their care. Results: Patients' perceptions of QoC provided by attending physicians improved in five aspects when medical students were present: friendliness (p = 0.003), competence providing medical care (p = 0.049), quality of information provided (p = 0.025), amount of time spent with the patient (p < 0.001) and availability to personally provide care (p < 0.001). Overall patient satisfaction also significantly increased (p < 0.001). Conclusions: The presence of medical students does not negatively affect patients' perceptions of QoC, on the contrary, these results provide evidence of improved patient satisfaction in several aspects of care when medical students were involved. The relevance of this study lies in its unique way of comparing patient satisfaction before and after the introduction of medical students. This setting helps elucidate the real effect of the presence of medical students on patient satisfaction. © 2014 Informa UK Ltd. All rights reserved: reproduction in whole or part not permitted.",2014
"Innovative profile of 176 companies in the regions of Antioquia, Santander, Risaralda and Quindio Colombia",2013 Proceedings of PICMET 2013: Technology Management in the IT-Driven Services,"This paper shows the key factors that influence the development of innovation in Colombian companies of the departments of Antioquia, Quindío, Risaralda and Santander. Taking as input the innovative profile of the methodological tool, developed by the research group in 'Policy and Management of Technology' from The Pontificia Bolivariana University: 'Technology Management Methodology for Project' (MGT), applied to 176 companies. This approach was conducted through a series of tests of hypotheses focused on measuring variables like, 'diffusion of innovation', 'know-how', 'competitive technical intelligence', 'employees with technology training' and 'experimental development budget for R & D + I', among other. According to these approaches, the states of the innovation, key factors to the analyzed firms in each region, were validated. Statistical models, critical z and percentage distribution, were used to validate the hypotheses, by means of which it was possible to identify weak key factors and opportunities in the various departments analyzed. © 2013 PICMET.",2013
A Strategy for Scaling-Up Intensive Silvopastoral Systems in Colombia,Journal of Sustainable Forestry,"Silvopastoral systems (SPS) enhance milk and meat production and are instrumental for the productive rehabilitation of degraded lands. Intensive silvopastoral systems (ISPS) combine fodder shrubs planted at high densities (&gt;10,000 plants ha-1), trees and pastures. Scaling-up such systems requires incentives to address financial and knowledge barriers. In Colombia, the strategy for scaling-up SPS has combined five elements. First, participatory research on real farms contributed to optimize SPS in different agroecosystems and strengthened a network of pilot farms open to research and peer-to-peer technology transfer. Second, capacity building, training, and outreach activities spread the principles of SPS among farmers, field workers, researchers, extension workers, and policy makers. Third, pilot projects explored the role of incentives such as Payment for Environmental Services (PES), technical assistance, soft loans and bonus prices, in spreading SPS. Fourth, successful pilot projects were instrumental in influencing the livestock sector as well as the public policy agenda. Fifth, currently, large-scale projects aimed at mainstreaming SPS are applying the lessons learned in order to achieve landscape-scale benefits, enhance climate change adaptation and mitigation, and introduce SPS products to green markets. Recently, innovation networks have contributed to speed up the adaptation of SPS in different environmental and socioeconomic contexts. © 2013 Taylor and Francis Group, LLC.",2013
Energy efficiency improvement in the cement industry by wet process through integral energy management system implementation [Mejoramiento de la eficiencia energética en la industria del cemento por proceso húmedo a través de la implementación del sistema de gestión integral de la energía],DYNA (Colombia),"The technology of energy management called ""Sistema de Gestión Integral de la Energía, SGIE"" was proposed in Colombia in 2007 as a result of a research project funded by the government. The SGIE technology consists of statistical and monitoring tools, energy efficiency indicators and conforms to the requirements of the Standard ISO 50001. This paper presents a pilot scheme for the implementation of the SGIE technology in a cement industry with wet process, in order to improve its energy efficiency. The results have shown a reduction of 4.6% of the electric energy consumption in this factory, achieved without investing in new equipment, only with the innovation of the processes through applying technologies of energy management. The implementation of the SGIE has contributed to the adoption of an energy efficient management's culture and continuous improvement of the processes with impact on productivity and competitiveness of the company.",2013
"Construction process for the biotechnology regional innovation system in agriculture, agroindustry and bioindustry - SRIB at Valle del Cauca - Colombia [proceso de construcción del sistema regional de innovación de la biotecnología para la agricultura, la agroindustria y la bioindustria - SRIB en el Valle del Cauca - Colombia]",Journal of Technology Management and Innovation,"The collective construction process allowed, from the selection of 4 projects articulators under BIO trends in the region, building strategic and concept of each project notes articulator strategic Units-UEA-analysis in each case, project identification of various levels of complexity, and a common agenda for joint construction in the first phase of five years. In the construction process to formulate common agenda directly involved 80 players from more than 30 institutions of business, academic and research, government and community organizations. The process SRIB as real case application of national policy in the region has posed an environmental analysis, biotechnology policies proposed by the Administrative Department of Science, Technology and Innovation COLCIENCIAS for the country in international relations 2010.Las in this phase were especially STEPS-University of Sussex, UK, the BMBF-Germany, CENIBIOT of Costa Rica and CIAT. Biotec Corporation acts as manager and coordinator of the process. The article presents the development and results of the construction of the 4 projects SRIB articulators and resulting joint agenda. © Universidad Alberto Hurtado, Facultad de Economía y Negocios.",2013
Local development based on knowledge and innovation: Case of study Agrópolis del Norte [Desarrollo local basado en conocimiento e innovación: Caso Agrópolis del Norte],Journal of Technology Management and Innovation,"This article addresses the management of knowledge as a development factor of a society or region. Knowledge management involves generating conditions for the creation and exchange of knowledge, to support these processes is necessary to articulate organizational systems that promote the activation of endogenous and intangible capitals, such as knowledge. Under this theoretical conception, a Local System of Innovation (L.S.I) is built for Agrópolis del Norte, for the purpose of stimulate integrating and mobilizing dynamics for social actors of nine municipalities in north Valle del Cauca (Colombia), which constitute the Agrópolis del Norte, towards development of financial and non-financial capital through knowledge management. © Universidad Alberto Hurtado, Facultad de Economía y Negocios.",2013
"Informal irrigation in the colombian andes: Local practices, national agendas, and options for innovation",Mountain Research and Development,"Knowledge about the extent of irrigated land in Colombia is scarce because most irrigation is done informally and therefore not registered. Informal irrigation in Colombia has not been investigated, its national presence has not been identified, and its characteristics are still unknown. The present article aims to help fill this gap. Because of topographical and agricultural patterns, Andean informal irrigation is impossible to identify or characterize using standard methods. To provide information on the scale of informal irrigation systems in Colombia, their type, the users they serve, and the type of water sources they use, a large-scale partial inventory was made combining statistical analysis, questionnaires, interviews, and field trips. The findings indicate that informal irrigation is widespread in the country's mountainous zones, in a great diversity of environments, characterized by an equally great diversity of local uses and water-use strategies. This diversity has resulted from the coexistence of very different community and state institutions, posing challenges for planning and organizing water-resource management more efficiently and sustainably for producers, the government, and other stakeholders.",2013
Characteristics of Randomized Trials Published in Latin America and the Caribbean According to Funding Source,PLoS ONE,"Introduction: Few studies have assessed the nature and quality of randomized controlled trials (RCTs) in Latin America and the Caribbean (LAC). Methods and Findings: The aims of this systematic review are to evaluate the characteristics (including the risk of bias assessment) of RCT conducted in LAC according to funding source. A review of RCTs published in 2010 in which the author's affiliation was from LAC was performed in PubMed and LILACS. Two reviewers independently extracted data and assessed the risk of bias. The primary outcomes were risk of bias assessment and funding source. A total of 1,695 references were found in PubMed and LILACS databases, of which 526 were RCTs (N = 73.513 participants). English was the dominant publication language (93%) and most of the RCTs were published in non-LAC journals (84.2%). Only five of the 19 identified countries accounted for nearly 95% of all RCTs conducted in the region (Brazil 70.9%, Mexico 10.1%, Argentina 5.9%, Colombia 3.8%, and Chile 3.4%). Few RCTs covered priority areas related with Millennium Development Goals like maternal health (6.7%) or high priority infectious diseases (3.8%). Regarding children, 3.6% and 0.4% RCT evaluated nutrition and diarrhea interventions respectively but none pneumonia. As a comparison, aesthetic and sport related interventions account for 4.6% of all trials. A random sample of RCTs (n = 358) was assessed for funding source: exclusively public (33.8%); private (e.g. pharmaceutical company) (15.3%); other (e.g. mixed, NGO) (15.1%); no funding (35.8%). Overall assessments for risk of bias showed no statistically significant differences between RCTs and type of funding source. Statistically significant differences favoring private and others type of funding was found when assessing trial registration and conflict of interest reporting. Conclusion: Findings of this study could be used to provide more direction for future research to facilitate innovation, improve health outcomes or address priority health problems. © 2013 Reveiz et al.",2013
Methodology for evaluating Innovation Capabilities at university institutions using a fuzzy system,Journal of Technology Management and Innovation,"This article proposes a methodology to evaluate Technological Innovation Capabilities at university institutions, seeking to strengthen innovation management and advance in the integration of said institutions in the dynamics of the innovation system. The Triple Helix Model is adopted to analyze the relationships of university institutions with their surroundings. The proposal is conceptually built on a based on the perspective of resources and capabilities and on to the systemic congruence model of the organization. A fuzzy inference system is developed as the mathematical support of the evaluation process of the Technological Innovation Capabilties. The methodology is experimentally applied to a university institution in Medellín - Colombia, demonstrating its consistency, viability and practical usefulness. © Universidad Alberto Hurtado, Facultad de Economía y Negocios.",2013
Intellectual assets and knowledge engineering method: A contribution,Advances in Intelligent Systems and Computing,"The Higher Education Institutions, HEI are the natural space where the ethos of knowledge can be developed and the Intellectual Capital, IK can be accumulated. It's no secret the inadequacy of the Management Information Systems, MIS to incorporate knowledge. In fact is shared by many authors that well over half the market value is explained by the IK in companies of the Third Millennium. Traditional systems do not account for the IK and only estimate the book values vs. market values when selling focused on negotiation processes. On the other hand, there are already quite a few financial models of the knowledge economy that considers the IK. For the universities is a critical issue in the way of the Competitiveness of Higher Education. Our initiative EIDOS constituted unconventional ideas that have not had an audience in the context of Colombia. Now beginning to break through what an open space is required with basic units in the enterprise architecture of the HEI focused on innovation; This was stated by the Government Plan 2010-2014, in this country as an national strategy. These new architectures must be defined and supported in order to facilitate the stream of information and knowledge with new sources of generation, especially those where the IK did not exist. It begins to think that IK is the basis of sustainability and financial governance. Knowledge Engineering (KE) maturity level is inderway. As background it should be mentioned that this research originated to facilitate the use of development methodologies, information systems and evolve them to the incorporation of layers of knowledge for an Intelligent Management Information IMIS, to the various organizational and technological changes that occur in building new systems to meet customer requirements in improvement of processes, new demands of companies in the Knowledge Society and basically make the intelligent performance of the firm. Our research effort represents ongoing work with several University projects and unpublished graduate works and also consulting works for institutions in Colombia. In the FESSANJOSE the model has evolved to our proposal of social innovation Leontief Model that incorporate the knowledge sector. The KE methodology is shortly presented in this paper has been an attempt for reducing the complexity involved: is part of that effort and has not obeyed to a large-scale project with good funding. They have been serene developments that we want to share with the academic community. We describe an attempt to formalize a KE methodology in 8 steps which are presented in detail, the mix of ideas coming from both Engineering and Management we tried to integrate in this construct. The full method can be read in the 2nd chapter titled ""Analytical Models for Tertiary Education by Propaedeutic Cycles Applying Knowledge Engineering and Knowledge Management"". © 2013 Springer-Verlag.",2013
Model based on knowledge management for intensive organizations naval engineering application: Colombian naval sector,International Conference on ICT and Knowledge Engineering,"This article presents a process R&D, allowing structure, develop and integrate a management model based on knowledge from the joint three fundamental pillars: the technology management, talent management, human knowledge management and structural support of technologies information and knowledge, the application of the model is able to consolidate in COTECMAR, a Science and Technology Corporation belonging to the naval sector Colombia. Within the development of research were taken as the theoretical basis organizational learning, skills management of human talent, the models of knowledge management, technological monitoring, infrastructure knowledge, business intelligence, technology transfer and own processes of innovation and development of shipbuilding industry in design, construction and repair of ships and craft. The challenge laid out by research team was associated with the development of policies, strategies, methodologies and tools to manage knowledge, developing skills and competencies from individual experiences, group and organizational, so that short-term fostered a culture of generation innovation for competitive and comparative advantages in the sector naval. Additionally as part of the R & D. He designed a Web platform as a tool for developing knowledge management tasks, in this case communities of practice, virtual communities and knowledge networks, which is active in the organization. © 2012 IEEE.",2012
Innovations in governmental accounting in Latin America: The case of Colombia [Las innovaciones en contabilidad gubernamental en Latinoamérica: El caso de Colombia],Innovar,"This work addresses the reform of governmental accounting in Colombia, which began in 1991 and currently continues, in order to better understand the origins and development of the Colombian Public Accounting System. One new element consists in documenting part of the process of adaptation of the International Public Sector Accounting Standards - IPSAS - to a specific context. Thus, the central question of the document is whether or not the process carried out in governmental accounting in Colombia can be viewed as an innovation. Using a descriptive and analytical approach supported by public documents and secondary sources, we characterize what has happened in accordance with the Financial Management Reform Process Model proposed by Lüder (2002). Structural, behavioral and instrumental variables that have had an effect on the process are analyzed along with the current status of the reform. Also, certain motivators and obstacles in the adoption and adaptation of such innovations as the IPSAS are identified.",2012
Colchones Eldorado: dreaming of innovating,Emerald Emerging Markets Case Studies,"Subject area: Innovation and creativity in small to medium-sized enterprises (SMEs) in Latin America. Study level/applicability: The case is recommended for creativity and innovation subjects, in undergraduate and MBA levels. The case is also suggested for subjects associated with the organizational dynamics on SMEs. Case overview: Colchones Eldorado is a Colombian company dedicated to the bedding industry. The company was founded in 1957 by Gumercindo Gómez Caro, a creative man who in 1959 invented a machine to make springs, which allowed the company to grow steadily for several decades. On November 18, 2004, the founder's daughter, Martha Luz Gomez, was appointed as General Manager. On April 2011 it obtained a license from Sealy, the biggest mattress making company in the USA. The license implied a challenge - testing the company's innovative capacities to adapt Sealy mattresses to satisfy consumers in the Colombian market. Expected learning outcomes: Students are shown the characteristics of the creative and innovation process in a Latin American SME, and the innovation challenges which are faced. From the reading and the case discussion, the students should be able to: analyse the manifestations of the creative process in an SME; identify examples of the innovation types of an SME; and discuss the organizational conditions to answer the creativity and innovation challenges in an SME. Supplementary materials: Teaching notes are available for educators only. Please contact your library to gain login details or email support@emeraldinsight.com to request teaching notes. © 2012, Emerald Group Publishing Limited.",2012
Knowledge sharing and innovation in Spanish and Colombian high-tech firms,Journal of Knowledge Management,"Purpose: The aim of this paper is to empirically test the degree of influence of different knowledge sharing mechanisms (ICT-based, personal interaction-based, and embedded in management processes) on innovation capability (both on ideation and on innovation project management), as well as the influence of each first-level innovation capacity on company performance. Design/methodology/approach: A questionnaire was designed and addressed to the CEOs of the companies making up the target population (Spanish and Colombian medium-high and high technology firms with more than 50 employees and R&D activities). Structural equation modelling (SEM) based on partial least squares (PLS) was then applied to test the hypotheses drawn from the research. Findings: The results obtained show that knowledge sharing is a key issue in order to enhance innovation capability. With the exception of ICT-based knowledge sharing mechanisms (whose influence on the generation of new ideas is not statistically significant), all types of mechanism considered exert a significant impact both on ideation and on innovation project management (although their degree of relevance varies), and account for a great deal of variance in both constructs. Differences between countries arise when it comes to the influence of each first-level innovation capacity on company performance. Research limitations/implications: Traditional limitations of cross-sectional studies apply. Originality/value: The main contribution of this paper is to provide empirical evidence about the impact of knowledge sharing on innovation. Moreover, it reveals what the most effective knowledge sharing mechanisms are for this purpose and provide companies with a basic framework in order to shape their knowledge management strategies in this domain. © Emerald Group Publishing Limited.",2012
Energy efficiency improvement in the cement industry through energy management,IEEE Cement Industry Technical Conference (Paper),"The technology of energy management called ""Sistema de Gestión Integral de la Energía, SGIE"" was proposed in Colombia in 2007 as a result of a research project funded by the Colombian government. The SGIE technology consists of statistical and monitoring tools, energy efficiency indicators and conforms to the requirements of the Standard ISO 50001. This technology allows the measurement of energy efficiency on industrial processes. Since 2007, the SGIE technology has been used in diverse industrial sectors and between the years 2009 and 2010, it was applied to the cement production industry. This paper presents the results of a pilot application of the SGIE technology in a cement plant with a wet process, in order to improve its energy efficiency. The results have shown a reduction of 4.6% of the electric energy consumption in this plant; achieved without investing in new equipment, but with only the innovation of the processes through applying the SGIE technologies to the energy management of the plant processes. The implementation of the SGIE has contributed to the adoption of a culture of energy efficient management and continuous improvement of the processes with impact on productivity and competitiveness of the company. © 2012 IEEE.",2012
Management model to certification and recertification criteria to professional engineers,IEEE International Conference on Industrial Engineering and Engineering Management,"The objective of this project is to establish a management model for certification and recertification of professional engineering, which is required to perform the analysis of the state of knowledge of the processes of certification and recertification of professional engineering and the different studies where the relationship University - Company - State has been applied to generate results based on innovation. The scope of the project will involve the analysis of regulatory, legal and procedural in Colombia, United States, Canada, El Salvador, Guatemala and Honduras, countries through which they have established free trade agreements, where the issue of mobility is essential development of skills that result in professional innovation. Develop a management model which involves the relationship University - Business-State will result in a unified methodology in the regulatory framework for certification and recertification of professional engineering. © 2012 IEEE.",2012
"Innovación organizations, levels and territory in the perspective of a model of management to regional systems of science, technology and innovation [Organizaciones, niveles y territorio en la perspectiva de un modelo de gestión de los sistemas regionales de ciencia, tecnología innovación]",62nd IIE Annual Conference and Expo 2012,"The social, economic, geopolitical and technological derived from the ""Knowledge Society"" are closely related and affect the ability of organizations to manage innovation. Funding in previous work, empirical and theoretical constructions, the consulting firm TEAM Ingeniería de Conocimiento in partnership with the Grupo de Investigación GEIT- UD, present a proposal to develop a new model for innovation management that responds to the obsolescence of the models (techniques, methodologies) management innovation ""traditional"" approaches, but above all the need to prepare local organizations to meet all the new needs, trends and policy framework in the short medium term intends to have more financial resources to leverage innovation projects with state funding. Innovation indicators in the regions of Colombia are not the best, in Bogotá - Cundinamarca, the region of the country with the highest rates of investment in Science, Technology and Innovation, private spending on these activities is barely a 0.5 % of sales. While progress has been made in the implementation of mechanisms to promote innovation (Agendas regional and sectoral agreements Competitiveness Foresight exercises, Network of Innovative Business, Meetings University - Business - State), the reality is there is still much to build in the capabilities of innovation in organizations in the region. The need to generate a new model of innovation management is also related to a paradigm shift in the convergence being represented ICT and Social Networks, and by extension, a set of rules associated with new forms of relationships (between individuals and organizations) , new social patterns, new forms of access and use of knowledge. The ""closed and linear schemes"" that were based on traditional innovation models today are revalued, and therefore need to ""innovate in the innovation."".",2012
The health system of Colombia [Sistema de salud de Colombia],Salud Publica de Mexico,"This document briefly describes the health conditions of the Colombian population and, in more detail, the characteristics of the Colombian health system. The description of the system includes its structure and coverage; financing sources; expenditure in health; physical material and human resources available; monitoring and evaluation procedures; and mechanisms through which the population participates in the evaluation of the system. Salient among the most recent innovations implemented in the Colombian health system are the modification of the Compulsory Health Plan and the capitation payment unit, the vertical integration of the health promotion enterprises and the institutions in charge of the provision of services and the mobilization of additional resources to meet the objectives of universal coverage and the homologation of health benefits among health regimes.",2011
Diagnostic innovation strategy research groups [Diagnostico de estrategia de innovación en grupos de investigación],Journal of Technology Management and Innovation,"This study involves a statistical analysis based on the results of the diagnostic strategy in innovation in 52 research groups at one university in Medellin - Colombia, to validate the currently situation of the groups towards innovation, strategies, structures of development equipments among others. The methodology was designed by the Policy and Technology Management Research Group, based on different models such as, methodology in technological management of projects, diagnosis of innovation by Albacete, Cataluña and methodology for innovation strategy by Melissa Schilling.The results offer basis for the formulation and implementation of innovative strategies in the different groups allowing the improvement in the innovation generation of products, services, processes, markets as well as to improve its competitiveness. © Universidad Alberto Hurtado, Facultad de Economía y Negocios.",2011
Innovation indices of the Colombian industrial groups from two national innovation surveys,"PICMET: Portland International Center for Management of Engineering and Technology, Proceedings","This paper seeks to contribute to the analysis of innovation in the Colombian industry (at group or 2-digit ISIC level) using data from the first two national innovation surveys. This is pursued by means of Innovation Indices, from which it is sought to identify regional and national special features, while allowing international comparative analysis, along the lines of the Oslo Manual. The work highlights the limitations of the information available to carry out the calculation of innovation indices as proposed in the recent literature on the subject. As an alternative, a methodology based on the Importance Value Indices (IVIs) is applied, which allows the calculation of new innovation performance indicators amenable to international comparisons. By applying multivariate statistical techniques, redundant information of a high number of variables is cleared to construct the IVIs; then, clustering and characterization of the different units of analysis is performed using a model that connects the variables refined. The paper concludes with an exercise of innovation analysis applied to industrial groups in Colombia, using IVIs constructed with data from the first two national innovation surveys. © 2011 IEEE.",2011
